"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20753.5276476148","22429.2894439746","23484.2682590847","25024.8276202404","26786.1459486344","27192.7074960316","27183.8527304627","28718.5574188519","28743.5090623207","28656.0961995796","30746.6527453748","32184.2193022105","31988.303072648","32657.892379743","35653.5376737516","36264.4353728603","37365.0551941654","39080.4660076304","40059.8571454295","35169.7853529421","34230.3250904912","35780.2497425213","34786.5939932063","36932.1841636111","36846.8482853085","37343.9129633145","37583.8403229292","38865.188195117","41685.363318473","42510.0655895769","35012.3914663852","42887.3749125576","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1815.97871189531","1828.75426857832","1788.43234743546","1780.71016464087","1806.24280965269","1877.35868828737","1964.24799644335","2032.33312150127","2041.83839482148","2076.26641078786","2141.92413376451","2213.34582225031","2276.88964236216","2336.87795947304","2469.64351789393","2635.50842565919","2821.72489171361","3009.56074570065","3120.48108872911","3079.31913676369","3188.30630396932","3293.82596395288","3209.18309319471","3334.65469606855","3471.66512500161","3498.86489254846","3592.09262122447","3635.25964188722","3724.99488205962","3778.21023573332","3624.82067414281","3858.00465124489","4169.01953247279",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943.116264973781","970.645114676507","971.811023482828","1075.67137317936","1120.89312847686","1287.06440027539","1336.21033898238","1575.31677908968","1771.19798501195","1749.93699491677","1958.44762747924","2062.05917625276","2110.82956797747","2128.12593822669","2023.83465629732","2096.09311055337","2110.23938365518","2168.13376468689","2078.59508637203","1673.96405892148","",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1748.45521188167","1783.76720035062","1821.42578598783","1797.50000610121","1787.58050630383","1815.60410241028","1884.97155611274","1948.5521890683","1987.33385194598","1993.68172180935","2055.82031175875","2151.28847674255","2323.79637953787","2431.74846018571","2619.8826001619","2780.20853202642","2936.19418993364","3090.50050735708","3255.16947482885","3378.28196867604","3552.14891142514","3699.54904368581","3802.06000292173","3952.02318774119","4144.25966179152","4077.32142361182","4003.75655859256","4051.27119923512","4161.78275580639","4267.0505221923","4179.6323660463","4429.95213293156","4798.43451885273",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3283.17084264682","3315.70892012087","3091.20134167919","2330.66232463358","2336.37906790098","2654.40279083022","2968.58657619534","3133.18615405633","3210.0823089319","3220.72474626244","3285.95341568284","3388.14868776504","3782.89222467172","3839.57282705314","4223.6377872291","4835.66952233918","5364.4376625966","6056.77918748018","6615.11498323198","6471.28487887659","6586.46581926881","6700.11409977804","7389.31496018756","7643.9219442902","8123.04806537777","7274.09047477931","7027.14663413219","7216.06137267002","7043.95535982329","6882.27912260866","6367.43731675631","6523.46361278759","6973.69629889611",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2549.74680052103","1909.31915995857","1823.5036094765","2057.6920475362","2290.14391682223","2666.08195137438","2980.41887081088","2717.68470080045","3021.17960396358","3471.64661643634","3861.33300611406","4300.22273491517","4661.40269532788","5000.29565068603","5427.76712861162","5865.29135442867","6565.63337421329","7284.16653783604","8228.35457586499","8813.51676007141","9628.64011247685","10207.7594552245","10526.2501064206","10570.9660445504","11259.3036811774","11658.8948969978","12078.7993344718","12770.9918634405","13498.184606593","14407.4376451051","14064.0386149862","15532.7060558643","18551.716479374",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6672.97188551473","7265.39718897756","7606.80973348295","7797.83200442975","7972.69214328005","8149.20488117307","8474.14168842969","8791.99557911748","9170.8004864826","9275.36148041185","9897.36445721904","10057.9904818001","10021.1206724986","10418.8734369679","11441.1925573551","12154.2530287924","12930.210885762","13498.5895470468","14150.1295417319","13923.7926532865","14394.0680604662","14992.7533279258","15952.7536826455","15880.3114304135","15625.4921348372","14145.3468869259","13712.3601117128","14332.3535242912","14766.677788746","14967.1157569633","14220.797826544","15167.2606590527","16913.6530368096",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83843.2246780448","82712.8139100066","82972.0061484129","81868.5116511012","85325.005838407","88932.300784671","90644.5911207501","93461.25054378","89110.1443914782","87692.0249328971","94015.709186612","92431.1914880088","91407.1841157827","96633.0226384682","103821.831377533","104732.05369113","103625.975953245","91608.3222202727","80959.4607166056","67508.5860094236","65411.9400392554","70619.3158481136","74853.5750986653","75877.9979632884","78859.0891155157","69705.7048589432","68853.8197724475","71182.3707169574","73270.6715815328","74826.5184156446","71458.6385220728","76948.3274962852","87729.1912638061",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7183.58382562643","7990.18800352353","8699.39508000729","9506.50543115127","10138.6816541837","9925.12989526904","10531.8458193995","11444.4740607451","11880.4806279761","11506.6988843989","11542.9860028113","11159.3299223816","9990.72022161809","10974.3241728286","12162.3374741639","13513.6702919661","14896.7335378162","16510.4482429226","17336.9328242167","16249.730130137","18063.9143432506","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23597.117752839","23294.0986752419","23007.8365916056","20787.857870615","23754.3613898843","26504.5905619696",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2756.57332354643","2473.87354790732","1490.35193668474","1438.58850813848","1587.04298834687","1758.67355702797","1909.64268102564","2023.94715018545","2217.0578535948","2347.50209987159","2572.4208203298","2915.45578555773","3382.06032385789","3958.32998572176","4518.26274645491","5339.90170201023","6274.02820664947","7380.23153964858","8097.3050071749","7045.33072468128","7331.38650353822","7881.77173468477","9267.39700562965","9822.94744066856","10114.93983675","10132.318975243","10966.8533270074","12509.6396064818","13549.5224245895","14924.776928318","14105.9112525331","15661.5113451936","18941.5268080528",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
